,age,weight(kg),height(m),gender,BMI,BMR,activity_level,calories_to_maintain_weight,B1I_tags,Label,height(new)
6334,15,50,1.606,1,19,1448.7,1.5,2173,8,18,161
6336,16,49,1.620,0,19,1329.1,1.2,1595,8,15,162
6337,16,54,1.590,1,21,1496.2,1.9,2843,8,21,159
6338,15,50,1.622,1,19,1460.9,1.9,2776,8,21,162
6339,16,52,1.592,0,21,1353.8,1.3,1760,8,16,159
6340,16,54,1.612,1,21,1501.6,1.3,1952,8,17,161
6341,16,53,1.588,0,21,1361.8,1.5,2043,8,17,159
6342,15,51,1.602,1,20,1462.5,1.2,1755,8,16,160
6343,14,50,1.597,1,20,1453.6,1.9,2762,8,21,160
6344,15,53,1.625,1,20,1506.9,1.3,1959,8,17,162
6346,14,53,1.598,1,21,1499.1,1.5,2249,8,18,160
6348,14,48,1.602,1,19,1434.5,1.7,2439,8,19,160
6349,16,49,1.593,0,19,1316.9,1.5,1975,8,17,159
6350,15,54,1.618,0,21,1375.2,1.3,1788,8,16,162
6352,15,48,1.616,0,18,1320.7,1.7,2245,7,5,162
6356,16,51,1.601,0,20,1338.1,1.2,1606,8,15,160
6358,17,50,1.625,0,19,1328.7,1.5,1993,8,17,163
6359,16,53,1.592,1,21,1478.2,1.5,2217,8,18,159
6360,16,48,1.606,1,19,1420.8,1.7,2415,8,19,161
6362,15,53,1.612,0,20,1364.4,1.3,1774,8,16,161
6364,16,54,1.594,0,21,1368.3,1.2,1642,8,15,159
6365,15,52,1.614,1,20,1487.6,1.5,2231,8,18,161
6370,16,52,1.617,1,20,1472.1,1.9,2797,8,21,162
6371,15,48,1.610,0,18,1316.8,1.2,1580,7,1,161
6376,16,52,1.598,0,20,1347.8,1.3,1752,8,16,160
6377,15,48,1.608,0,18,1316.1,1.9,2501,7,7,161
6381,15,54,1.625,1,21,1520.1,1.3,1976,8,17,162
6382,14,52,1.593,0,20,1355.8,1.3,1763,8,16,159
6383,15,53,1.589,0,21,1364.2,1.5,2046,8,17,159
6385,17,50,1.625,0,19,1330.3,1.5,1995,8,17,163
6386,16,49,1.621,1,19,1436.9,1.7,2443,8,19,162
6388,14,54,1.590,1,21,1507.9,1.3,1960,8,17,159
6389,16,54,1.618,0,20,1369.0,1.2,1643,8,15,162
6391,17,53,1.605,0,21,1357.0,1.9,2578,8,20,161
6394,16,54,1.625,1,21,1514.2,1.2,1817,8,16,162
6395,17,53,1.605,1,20,1473.2,1.5,2210,8,18,160
6399,16,48,1.620,1,18,1424.9,1.3,1852,7,4,162
6401,15,53,1.615,0,20,1363.2,1.5,2045,8,17,161
6402,14,54,1.621,1,20,1516.0,1.3,1971,8,17,162
6403,15,48,1.625,1,18,1434.4,1.3,1865,7,4,162
6404,16,54,1.590,1,21,1493.9,1.9,2838,8,21,159
6405,15,50,1.613,1,19,1453.2,1.5,2180,8,18,161
6407,15,51,1.602,1,20,1465.9,1.2,1759,8,16,160
6408,16,54,1.597,0,21,1365.6,1.9,2595,8,20,160
6410,15,53,1.609,0,20,1364.7,1.5,2047,8,17,161
6411,17,49,1.608,0,19,1318.4,1.2,1582,8,15,161
6420,15,54,1.593,0,21,1376.4,1.9,2615,8,20,159
6422,16,49,1.595,0,19,1320.8,1.2,1585,8,15,160
6426,17,54,1.608,0,21,1365.2,1.2,1638,8,15,161
6428,15,53,1.620,0,20,1364.6,1.2,1638,8,15,162
6429,17,53,1.623,1,20,1487.3,1.5,2231,8,18,162
6430,14,52,1.596,1,21,1484.8,1.9,2821,8,21,160
6431,16,50,1.609,0,19,1335.9,1.2,1603,8,15,161
6432,15,53,1.607,0,21,1369.8,1.3,1781,8,16,161
6434,14,52,1.615,1,20,1497.8,1.9,2846,8,21,162
6439,14,54,1.621,1,21,1524.9,1.2,1830,8,16,162
6441,17,50,1.591,0,20,1321.0,1.5,1981,8,17,159
6442,17,49,1.612,1,19,1422.7,1.7,2419,8,19,161
6443,16,54,1.588,1,22,1496.1,1.2,1795,8,16,159
6444,15,48,1.595,0,19,1320.1,1.5,1980,8,17,159
6445,17,54,1.607,0,21,1364.8,1.5,2047,8,17,161
6447,16,52,1.606,0,20,1349.6,1.5,2024,8,17,161
6448,15,50,1.623,1,19,1462.3,1.2,1755,8,16,162
6450,16,52,1.600,1,20,1475.2,1.9,2803,8,21,160
6451,16,51,1.593,0,20,1341.9,1.2,1610,8,15,159
6452,15,51,1.613,0,20,1349.8,1.2,1620,8,15,161
6454,15,51,1.610,1,20,1473.9,1.5,2211,8,18,161
6458,17,53,1.615,0,20,1358.4,1.5,2038,8,17,162
6459,15,52,1.613,0,20,1360.1,1.3,1768,8,16,161
6460,15,52,1.612,1,20,1479.7,1.2,1776,8,16,161
6461,15,52,1.618,0,20,1362.8,1.5,2044,8,17,162
6462,15,51,1.589,1,20,1457.0,1.5,2185,8,18,159
6463,17,49,1.608,0,19,1323.5,1.5,1985,8,17,161
6467,17,53,1.609,0,20,1355.0,1.5,2033,8,17,161
6468,15,53,1.596,1,21,1490.9,1.5,2236,8,18,160
6469,17,52,1.625,0,20,1350.8,1.5,2026,8,17,163
6472,15,51,1.612,1,20,1472.6,1.9,2798,8,21,161
6473,15,50,1.608,1,20,1458.7,1.5,2188,8,18,161
6475,16,52,1.620,1,20,1474.6,1.9,2802,8,21,162
6480,15,54,1.625,1,21,1519.5,1.9,2887,8,22,163
6481,15,53,1.589,0,21,1362.3,1.5,2043,8,17,159
6483,16,49,1.620,0,19,1323.4,1.5,1985,8,17,162
6484,15,53,1.590,1,21,1486.9,1.9,2825,8,21,159
6485,17,53,1.593,1,21,1478.2,1.9,2809,8,21,159
6489,16,48,1.620,0,18,1313.8,1.9,2496,7,7,162
6490,15,52,1.607,0,20,1353.7,1.5,2031,8,17,161
6491,16,54,1.597,1,21,1490.3,1.9,2832,8,21,160
6497,15,51,1.594,0,20,1347.0,1.5,2021,8,17,159
6499,15,48,1.623,0,18,1317.7,1.3,1713,7,2,162
6501,15,54,1.595,1,21,1494.5,1.2,1793,8,16,159
6502,16,50,1.607,1,19,1448.0,1.9,2751,8,21,161
6503,15,53,1.618,0,20,1371.4,1.9,2606,8,20,162
6507,16,54,1.602,0,21,1369.5,1.3,1780,8,16,160
6508,14,52,1.591,0,21,1358.4,1.5,2038,8,17,159
6511,16,48,1.605,1,19,1418.9,1.7,2412,8,19,161
6514,17,53,1.623,1,20,1481.6,1.9,2815,8,21,162
6516,15,48,1.602,1,19,1421.0,1.7,2416,8,19,160
6517,15,52,1.608,1,20,1482.3,1.5,2223,8,18,161
6518,15,51,1.608,0,20,1351.9,1.5,2028,8,17,161
6520,15,51,1.589,0,20,1344.6,1.9,2555,8,20,159
6523,17,50,1.611,1,19,1434.8,1.5,2152,8,18,161
6524,15,54,1.611,1,21,1507.6,1.9,2864,8,22,161
6526,15,48,1.597,0,19,1318.3,1.7,2241,8,18,160
6527,15,48,1.605,0,19,1315.2,1.5,1973,8,17,161
6528,15,51,1.613,1,20,1471.9,1.9,2797,8,21,161
6529,14,54,1.596,1,21,1511.0,1.7,2569,8,20,160
6531,15,52,1.604,0,20,1353.4,1.2,1624,8,15,160
6536,15,54,1.617,1,21,1513.6,1.7,2573,8,20,162
6540,15,54,1.602,1,21,1499.7,1.9,2849,8,21,160
6542,17,53,1.600,1,21,1475.3,1.5,2213,8,18,160
6543,17,54,1.601,1,21,1487.7,1.9,2827,8,21,160
6545,16,54,1.596,1,21,1498.2,1.5,2247,8,18,160
6548,14,50,1.614,1,19,1466.7,1.2,1760,8,16,161
6550,16,53,1.593,0,21,1355.6,1.9,2576,8,20,159
6551,15,52,1.621,1,20,1480.4,1.2,1776,8,16,162
6552,14,48,1.612,1,18,1430.6,1.2,1717,7,2,161
6553,17,48,1.607,1,19,1412.0,1.3,1836,8,16,161
6554,15,51,1.620,0,19,1348.3,1.9,2562,8,20,162
6558,16,49,1.603,1,19,1423.7,1.7,2420,8,19,160
6559,14,52,1.620,1,20,1499.6,1.2,1799,8,16,162
6560,15,50,1.613,0,19,1334.7,1.2,1602,8,15,161
6561,16,51,1.595,0,20,1338.7,1.5,2008,8,17,160
6562,15,51,1.594,1,20,1456.4,1.9,2767,8,21,159
6568,15,48,1.599,0,19,1314.8,1.2,1578,8,15,160
6569,14,49,1.625,1,19,1455.2,1.5,2183,8,18,162
6571,14,54,1.611,1,21,1521.3,1.3,1978,8,17,161
6572,16,48,1.615,0,18,1315.8,1.2,1579,7,1,162
6573,16,52,1.622,1,20,1486.3,1.9,2824,8,21,162
6575,15,50,1.612,1,19,1455.4,1.9,2765,8,21,161
6577,15,54,1.589,0,21,1372.0,1.2,1646,8,15,159
6579,15,49,1.591,1,19,1431.8,1.7,2434,8,19,159
6582,17,51,1.602,0,20,1332.6,1.5,1999,8,17,160
6583,17,52,1.608,0,20,1343.8,1.9,2553,8,20,161
6584,15,51,1.619,0,19,1345.2,1.5,2018,8,17,162
6585,17,54,1.600,1,21,1487.8,1.9,2827,8,21,160
6586,16,54,1.594,0,21,1365.3,1.3,1775,8,16,159
6587,17,49,1.607,0,19,1322.4,1.5,1984,8,17,161
6588,15,48,1.613,0,19,1321.2,1.2,1585,8,15,161
6592,15,48,1.620,1,18,1428.5,1.7,2428,7,6,162
6594,15,54,1.588,0,21,1368.9,1.2,1643,8,15,159
6595,15,49,1.612,1,19,1440.9,1.7,2450,8,19,161
6597,15,50,1.615,1,19,1451.0,1.9,2757,8,21,162
6599,15,52,1.590,1,21,1471.5,1.9,2796,8,21,159
6600,15,53,1.614,0,20,1365.1,1.9,2594,8,20,161
6602,15,48,1.621,0,18,1325.2,1.3,1723,7,2,162
6603,16,48,1.619,0,18,1315.9,1.3,1711,7,2,162
6604,17,54,1.605,0,21,1367.9,1.9,2599,8,20,160
6605,14,52,1.623,0,20,1367.6,1.9,2598,8,20,162
6609,16,53,1.588,0,21,1358.2,1.5,2037,8,17,159
6610,14,50,1.608,1,19,1459.6,1.5,2189,8,18,161
6611,15,53,1.606,0,20,1361.8,1.3,1770,8,16,161
6612,16,54,1.611,0,21,1367.6,1.2,1641,8,15,161
6613,14,51,1.607,0,20,1354.2,1.3,1760,8,16,161
6616,15,49,1.603,0,19,1326.4,1.5,1990,8,17,160
6620,16,53,1.591,1,21,1481.7,1.2,1778,8,16,159
6621,15,49,1.621,0,19,1332.8,1.2,1599,8,15,162
6623,16,51,1.607,1,20,1453.1,1.9,2761,8,21,161
6627,16,54,1.592,1,21,1498.5,1.5,2248,8,18,159
6630,16,54,1.618,0,20,1369.0,1.3,1780,8,16,162
6632,15,52,1.607,1,20,1476.6,1.9,2806,8,21,161
6634,17,49,1.625,0,19,1322.9,1.7,2249,8,18,163
6635,15,53,1.609,0,20,1364.2,1.9,2592,8,20,161
6636,16,51,1.612,1,20,1461.1,1.5,2192,8,18,161
6637,15,50,1.597,1,20,1450.7,1.9,2756,8,21,160
6638,14,48,1.625,1,18,1438.8,1.2,1727,7,2,163
6642,17,48,1.624,0,18,1309.3,1.9,2488,7,7,162
6644,14,50,1.616,0,19,1346.1,1.5,2019,8,17,162
6645,15,48,1.613,0,18,1319.2,1.7,2243,7,5,161
6646,16,53,1.591,1,21,1479.1,1.2,1775,8,16,159
6649,15,54,1.599,0,21,1375.7,1.9,2614,8,20,160
6650,14,53,1.592,1,21,1491.4,1.9,2834,8,21,159
6651,16,52,1.625,0,20,1355.5,1.2,1627,8,15,163
6655,16,52,1.607,1,20,1475.1,1.5,2213,8,18,161
6656,17,53,1.609,0,20,1355.9,1.5,2034,8,17,161
6657,14,53,1.621,1,20,1504.2,1.2,1805,8,16,162
6658,15,49,1.605,1,19,1432.7,1.7,2436,8,19,161
6659,15,53,1.618,1,20,1500.4,1.3,1951,8,17,162
6662,15,51,1.598,0,20,1348.7,1.9,2563,8,20,160
6664,16,51,1.590,1,20,1447.8,1.9,2751,8,21,159
6665,15,48,1.598,1,19,1421.8,1.3,1848,8,16,160
6666,14,52,1.600,0,20,1359.5,1.5,2039,8,17,160
6667,15,52,1.625,1,20,1488.9,1.5,2233,8,18,163
6669,15,48,1.590,1,19,1417.9,1.3,1843,8,16,159
6671,16,50,1.589,1,20,1435.8,1.7,2441,8,19,159
6672,14,50,1.612,1,19,1467.6,1.2,1761,8,16,161
6677,15,54,1.595,1,21,1498.6,1.5,2248,8,18,160
6678,16,48,1.614,0,19,1318.3,1.7,2241,8,18,161
6679,14,52,1.601,1,20,1488.1,1.2,1786,8,16,160
6680,14,48,1.622,1,18,1440.9,1.5,2161,7,5,162
6681,14,48,1.623,1,18,1442.5,1.2,1731,7,2,162
6684,15,48,1.607,1,19,1425.6,1.7,2424,8,19,161
6685,17,50,1.612,1,19,1435.2,1.5,2153,8,18,161
6686,15,54,1.599,1,21,1506.0,1.9,2861,8,22,160
6689,16,51,1.618,1,20,1465.0,1.2,1758,8,16,162
6690,15,53,1.608,0,21,1368.1,1.9,2599,8,20,161
6691,16,51,1.621,0,19,1343.9,1.5,2016,8,17,162
6693,15,52,1.593,0,20,1352.1,1.9,2569,8,20,159
6696,15,53,1.612,1,20,1494.1,1.9,2839,8,21,161
6697,16,48,1.613,1,19,1426.0,1.7,2424,8,19,161
6700,15,52,1.615,0,20,1356.1,1.5,2034,8,17,161
6704,16,52,1.599,1,20,1464.7,1.9,2783,8,21,160
6707,14,52,1.610,1,20,1486.1,1.2,1783,8,16,161
6712,16,52,1.610,1,20,1475.8,1.2,1771,8,16,161
6714,16,50,1.623,1,19,1450.8,1.9,2756,8,21,162
6717,16,50,1.588,0,20,1327.8,1.2,1593,8,15,159
6719,15,48,1.617,0,19,1324.6,1.5,1987,8,17,162
6720,16,53,1.588,0,21,1358.3,1.2,1630,8,15,159
6721,15,52,1.617,0,20,1355.3,1.3,1762,8,16,162
6722,14,52,1.600,0,20,1360.2,1.2,1632,8,15,160
6724,14,48,1.609,1,19,1437.7,1.5,2157,8,18,161
6726,15,51,1.607,0,20,1348.1,1.5,2022,8,17,161
6728,17,50,1.594,0,20,1326.8,1.5,1990,8,17,159
6729,15,49,1.591,1,19,1427.1,1.7,2426,8,19,159
6730,16,49,1.590,0,20,1324.4,1.2,1589,8,15,159
6731,16,51,1.606,1,20,1465.4,1.2,1758,8,16,161
6732,15,52,1.594,0,21,1357.4,1.3,1765,8,16,159
6734,14,52,1.603,0,20,1363.1,1.3,1772,8,16,160
6736,14,53,1.607,1,21,1504.6,1.7,2558,8,20,161
6739,15,52,1.607,0,20,1360.1,1.2,1632,8,15,161
6741,15,48,1.590,1,19,1414.8,1.7,2405,8,19,159
6742,16,51,1.624,1,19,1461.9,1.2,1754,8,16,162
6743,16,48,1.612,1,19,1424.2,1.7,2421,8,19,161
6746,14,49,1.616,0,19,1330.0,1.5,1995,8,17,162
6747,15,51,1.617,0,19,1347.8,1.5,2022,8,17,162
6748,16,52,1.605,1,20,1477.7,1.2,1773,8,16,160
6749,15,50,1.626,1,19,1466.5,1.2,1760,8,16,163
6750,14,51,1.611,0,20,1351.6,1.5,2027,8,17,161
6754,15,53,1.622,1,20,1507.0,1.2,1808,8,16,162
6755,15,48,1.591,0,19,1314.2,1.2,1577,8,15,159
6756,17,51,1.593,0,20,1333.0,1.2,1600,8,15,159
6758,16,53,1.620,1,20,1486.5,1.9,2824,8,21,162
6759,14,51,1.601,0,20,1354.6,1.9,2574,8,20,160
6760,15,51,1.600,0,20,1348.4,1.9,2562,8,20,160
6761,16,49,1.602,1,19,1435.4,1.5,2153,8,18,160
6762,16,50,1.621,1,19,1452.4,1.5,2179,8,18,162
6763,14,54,1.617,1,21,1521.8,1.3,1978,8,17,162
6764,14,51,1.611,1,20,1477.2,1.2,1773,8,16,161
6765,14,54,1.624,1,20,1516.8,1.2,1820,8,16,162
6768,16,49,1.590,1,19,1418.8,1.3,1844,8,16,159
6769,15,49,1.610,1,19,1434.8,1.5,2152,8,18,161
6770,16,52,1.594,1,21,1468.5,1.9,2790,8,21,159
6774,16,54,1.588,1,22,1495.5,1.2,1795,8,16,159
6775,15,51,1.591,1,20,1461.0,1.2,1753,8,16,159
6776,14,51,1.610,0,20,1351.7,1.2,1622,8,15,161
6777,16,54,1.622,1,21,1512.4,1.3,1966,8,17,162
6778,15,54,1.613,1,21,1506.6,1.9,2862,8,22,161
6779,14,49,1.618,1,19,1449.5,1.9,2754,8,21,162
6780,15,49,1.625,0,19,1329.8,1.5,1995,8,17,162
6782,16,48,1.589,0,19,1312.1,1.7,2231,8,18,159
6783,16,51,1.590,0,20,1337.4,1.2,1605,8,15,159
6784,15,54,1.602,0,21,1376.0,1.3,1789,8,16,160
6785,16,53,1.621,0,20,1362.9,1.3,1772,8,16,162
6786,15,51,1.588,0,20,1346.5,1.2,1616,8,15,159
6787,15,52,1.590,1,21,1472.4,1.5,2209,8,18,159
6789,15,54,1.602,0,21,1375.3,1.3,1788,8,16,160
6791,17,53,1.592,0,21,1350.5,1.9,2566,8,20,159
6794,16,48,1.598,0,19,1311.8,1.5,1968,8,17,160
6795,14,51,1.596,0,20,1348.4,1.9,2562,8,20,160
6797,17,51,1.599,0,20,1340.4,1.5,2011,8,17,160
6798,15,49,1.601,0,19,1324.0,1.2,1589,8,15,160
6799,15,54,1.623,1,20,1514.6,1.2,1817,8,16,162
6800,14,50,1.624,1,19,1473.3,1.9,2799,8,21,162
6801,14,48,1.623,0,18,1330.1,1.3,1729,7,2,162
6807,16,53,1.613,0,20,1361.1,1.5,2042,8,17,161
6809,15,48,1.598,1,19,1427.3,1.7,2426,8,19,160
6811,15,52,1.610,0,20,1355.8,1.9,2576,8,20,161
6813,16,54,1.589,0,21,1365.9,1.9,2595,8,20,159
6814,15,52,1.589,1,21,1469.3,1.5,2204,8,18,159
6815,15,53,1.617,0,20,1367.9,1.9,2599,8,20,162
6817,14,49,1.616,1,19,1445.7,1.5,2169,8,18,162
6818,15,54,1.588,0,22,1375.6,1.9,2614,8,20,159
6820,14,52,1.607,0,20,1365.8,1.2,1639,8,15,161
6821,17,54,1.610,1,21,1500.4,1.9,2851,8,22,161
6823,14,51,1.611,0,20,1351.0,1.5,2027,8,17,161
6824,15,53,1.616,0,20,1365.9,1.2,1639,8,15,162
6825,14,53,1.588,0,21,1368.3,1.2,1642,8,15,159
6827,15,53,1.595,1,21,1481.8,1.5,2223,8,18,159
6828,15,52,1.601,0,20,1352.9,1.2,1624,8,15,160
6829,15,48,1.624,1,18,1431.9,1.3,1861,7,4,162
6830,15,48,1.622,0,18,1323.8,1.3,1721,7,2,162
6831,17,54,1.590,0,21,1364.9,1.3,1774,8,16,159
6832,17,52,1.605,1,20,1463.7,1.5,2196,8,18,160
6834,14,54,1.600,1,21,1505.5,1.3,1957,8,17,160
6836,17,54,1.597,0,21,1363.8,1.9,2591,8,20,160
6837,15,48,1.612,1,18,1425.2,1.3,1853,7,4,161
6839,14,51,1.615,0,20,1354.5,1.9,2574,8,20,161
6840,16,53,1.603,0,21,1363.8,1.3,1773,8,16,160
6841,15,51,1.623,1,19,1473.2,1.5,2210,8,18,162
6843,16,51,1.613,0,20,1342.8,1.5,2014,8,17,161
6844,15,52,1.600,0,20,1359.5,1.5,2039,8,17,160
6847,15,50,1.615,1,19,1462.1,1.5,2193,8,18,162
6849,16,53,1.593,0,21,1356.4,1.2,1628,8,15,159
6851,17,49,1.589,0,20,1318.3,1.7,2241,8,18,159
6852,16,52,1.603,1,20,1471.5,1.5,2207,8,18,160
6853,16,51,1.616,1,19,1458.4,1.2,1750,8,16,162
6857,15,52,1.624,1,20,1485.3,1.9,2822,8,21,162
6858,15,52,1.618,0,20,1362.1,1.9,2588,8,20,162
6859,16,53,1.601,0,20,1356.0,1.5,2034,8,17,160
6860,15,52,1.621,1,20,1489.3,1.2,1787,8,16,162
6862,14,48,1.620,0,18,1326.3,1.3,1724,7,2,162
6863,14,49,1.599,0,19,1335.3,1.2,1602,8,15,160
6864,15,52,1.592,0,20,1349.9,1.9,2565,8,20,159
6865,17,49,1.593,0,19,1317.6,1.7,2240,8,18,159
6866,15,50,1.609,0,19,1333.9,1.2,1601,8,15,161
6868,14,53,1.615,1,20,1500.3,1.7,2550,8,20,161
6869,14,50,1.616,1,19,1461.0,1.9,2776,8,21,162
6870,16,49,1.600,1,19,1422.7,1.3,1849,8,16,160
6871,15,49,1.600,0,19,1324.0,1.5,1986,8,17,160
6873,14,53,1.592,0,21,1365.7,1.3,1775,8,16,159
6874,16,53,1.606,1,20,1483.6,1.5,2225,8,18,161
6877,15,52,1.602,0,20,1359.1,1.3,1767,8,16,160
6878,17,54,1.604,1,21,1495.5,1.9,2841,8,21,160
6881,17,48,1.616,1,18,1419.3,1.3,1845,7,3,162
6882,15,51,1.617,0,19,1346.1,1.2,1615,8,15,162
6886,16,48,1.589,0,19,1311.8,1.5,1968,8,17,159
6887,16,52,1.592,0,21,1350.3,1.5,2025,8,17,159
6888,15,54,1.618,1,21,1510.9,1.9,2871,8,22,162
6889,15,54,1.609,1,21,1508.0,1.7,2564,8,20,161
6893,16,53,1.601,0,21,1359.9,1.2,1632,8,15,160
6896,16,53,1.618,0,20,1360.6,1.2,1633,8,15,162
6898,15,53,1.622,0,20,1366.4,1.2,1640,8,15,162
6900,16,49,1.617,1,19,1433.6,1.7,2437,8,19,162
6901,15,50,1.619,1,19,1462.2,1.5,2193,8,18,162
6902,17,52,1.596,1,21,1464.8,1.9,2783,8,21,160
6903,16,51,1.606,0,20,1344.7,1.9,2555,8,20,161
6905,16,53,1.598,1,21,1483.4,1.2,1780,8,16,160
6906,15,48,1.593,0,19,1320.8,1.2,1585,8,15,159
6907,15,50,1.598,0,20,1336.2,1.2,1603,8,15,160
6908,17,53,1.615,1,20,1482.8,1.9,2817,8,21,161
6909,16,50,1.606,0,19,1329.5,1.5,1994,8,17,161
6910,14,54,1.604,0,21,1377.1,1.9,2616,8,20,160
6911,16,48,1.616,0,18,1317.9,1.7,2240,7,5,162
6912,17,52,1.603,0,20,1348.4,1.3,1753,8,16,160
6913,16,49,1.594,1,19,1419.3,1.7,2413,8,19,159
6916,14,51,1.616,0,20,1353.7,1.9,2572,8,20,162
6918,15,50,1.590,1,20,1437.2,1.7,2443,8,19,159
6919,14,52,1.597,0,20,1361.5,1.9,2587,8,20,160
6921,16,54,1.614,1,21,1506.6,1.9,2863,8,22,161
6923,14,51,1.620,0,19,1355.4,1.9,2575,8,20,162
6925,15,54,1.608,1,21,1503.8,1.9,2857,8,22,161
6926,14,49,1.612,0,19,1332.2,1.2,1599,8,15,161
6931,15,51,1.602,0,20,1344.5,1.2,1613,8,15,160
6932,14,54,1.623,0,21,1384.9,1.7,2354,8,19,162
6933,15,48,1.606,1,18,1419.5,1.2,1703,7,2,161
6934,15,53,1.599,1,21,1492.2,1.2,1791,8,16,160
6935,15,53,1.619,1,20,1502.0,1.7,2553,8,20,162
6936,16,52,1.604,1,20,1471.1,1.5,2207,8,18,160
6937,15,52,1.625,0,20,1359.0,1.5,2038,8,17,162
6939,15,52,1.595,0,20,1351.6,1.2,1622,8,15,160
6941,17,52,1.607,0,20,1351.2,1.9,2567,8,20,161
6942,16,54,1.615,1,21,1504.2,1.7,2557,8,20,161
6943,15,54,1.625,1,20,1516.0,1.7,2577,8,20,162
6944,15,51,1.616,1,20,1470.5,1.9,2794,8,21,162
6947,14,51,1.614,0,19,1349.8,1.3,1755,8,16,161
6948,14,48,1.597,1,19,1429.2,1.7,2430,8,19,160
6949,15,54,1.617,1,21,1508.7,1.7,2565,8,20,162
6950,14,54,1.607,0,21,1383.6,1.3,1799,8,16,161
6951,15,49,1.595,1,19,1433.4,1.5,2150,8,18,160
6952,14,52,1.612,0,20,1358.7,1.9,2581,8,20,161
6953,17,48,1.612,1,18,1413.1,1.7,2402,7,6,161
6954,16,48,1.618,0,18,1314.6,1.2,1578,7,1,162
6956,15,49,1.620,0,19,1327.4,1.5,1991,8,17,162
6957,16,51,1.609,1,20,1466.3,1.9,2786,8,21,161
6958,16,51,1.593,1,20,1456.7,1.9,2768,8,21,159
6959,15,51,1.617,1,20,1475.6,1.5,2213,8,18,162
6960,15,52,1.608,0,20,1360.7,1.3,1769,8,16,161
6964,16,53,1.621,0,20,1361.5,1.3,1770,8,16,162
6966,17,49,1.599,0,19,1312.6,1.7,2232,8,18,160
6967,16,52,1.597,0,20,1347.0,1.2,1616,8,15,160
6969,17,53,1.611,0,21,1360.5,1.5,2041,8,17,161
6970,17,52,1.588,1,20,1452.0,1.5,2178,8,18,159
6971,16,48,1.619,0,18,1315.5,1.3,1710,7,2,162
6972,16,48,1.602,1,19,1417.3,1.7,2409,8,19,160
6974,14,52,1.594,0,21,1363.0,1.5,2045,8,17,159
6975,16,52,1.608,0,20,1350.1,1.2,1620,8,15,161
6977,14,54,1.611,1,21,1513.1,1.7,2572,8,20,161
6981,15,49,1.616,1,19,1438.5,1.7,2445,8,19,162
6985,17,48,1.620,1,18,1418.1,1.7,2411,7,6,162
6986,15,51,1.611,1,20,1469.1,1.2,1763,8,16,161
6988,16,53,1.622,1,20,1488.8,1.2,1787,8,16,162
6989,17,53,1.591,0,21,1353.2,1.5,2030,8,17,159
6990,16,53,1.618,0,20,1360.7,1.9,2585,8,20,162
6995,14,52,1.599,0,20,1359.4,1.5,2039,8,17,160
6996,16,50,1.599,0,20,1332.4,1.2,1599,8,15,160
6997,17,49,1.621,1,18,1426.1,1.3,1854,7,4,162
6998,16,49,1.615,0,19,1324.6,1.2,1590,8,15,162
6999,15,54,1.592,1,21,1499.3,1.2,1799,8,16,159
7002,15,52,1.598,0,20,1352.9,1.9,2570,8,20,160
7003,16,53,1.594,0,21,1360.8,1.3,1769,8,16,159
7006,16,48,1.602,1,19,1415.6,1.3,1840,8,16,160
7007,17,52,1.588,0,21,1342.3,1.9,2550,8,20,159
7009,15,49,1.622,1,19,1449.1,1.5,2174,8,18,162
7010,14,50,1.594,0,20,1344.4,1.5,2017,8,17,159
7011,15,49,1.618,1,19,1447.4,1.5,2171,8,18,162
7013,15,53,1.600,1,21,1484.6,1.2,1782,8,16,160
7014,16,51,1.601,0,20,1344.9,1.5,2017,8,17,160
7015,17,54,1.590,1,21,1485.4,1.2,1782,8,16,159
7016,16,54,1.590,0,21,1368.7,1.3,1779,8,16,159
7017,14,48,1.607,0,19,1322.8,1.7,2249,8,18,161
7019,15,49,1.596,0,19,1328.9,1.2,1595,8,15,160
7020,15,49,1.619,0,19,1325.5,1.5,1988,8,17,162
7023,15,53,1.622,1,20,1502.5,1.3,1953,8,17,162
7024,14,53,1.597,1,21,1495.2,1.2,1794,8,16,160
7025,16,52,1.623,1,20,1474.7,1.2,1770,8,16,162
7026,15,53,1.619,0,20,1365.9,1.2,1639,8,15,162
7029,15,49,1.593,1,19,1426.0,1.7,2424,8,19,159
7031,15,53,1.595,0,21,1364.2,1.9,2592,8,20,160
7035,16,53,1.588,1,21,1477.0,1.9,2806,8,21,159
7039,15,52,1.593,0,21,1355.5,1.2,1627,8,15,159
7041,15,51,1.590,1,20,1460.7,1.9,2775,8,21,159
7045,16,52,1.606,0,20,1350.2,1.2,1620,8,15,161
7047,16,51,1.623,1,19,1471.7,1.5,2208,8,18,162
7048,17,49,1.617,1,19,1436.7,1.5,2155,8,18,162
7049,15,49,1.602,0,19,1331.7,1.5,1997,8,17,160
7054,16,52,1.605,1,20,1473.8,1.9,2800,8,21,161
7055,17,51,1.615,1,20,1459.4,1.2,1751,8,16,161
7056,17,48,1.622,1,18,1416.0,1.2,1699,7,2,162
7059,16,53,1.607,0,20,1359.5,1.2,1631,8,15,161
7060,17,53,1.597,1,21,1481.4,1.5,2222,8,18,160
7061,15,50,1.614,1,19,1449.3,1.9,2754,8,21,161
7062,16,48,1.609,0,19,1315.6,1.2,1579,8,15,161
7064,14,52,1.602,0,20,1361.9,1.3,1771,8,16,160
