,age,weight(kg),Height(m),gender,BMI,BMR,activity_level,calories_to_maintain_weight,B2I_tags,Label,height(cm)
,17,48,1.621,0,18,1312,1.7,2230,7,5,162
,17,53,1.59,1,21,1469,1.2,1763,8,16,159
,16,48,1.6,1,19,1419,1.7,2413,8,19,160
,16,52,1.623,0,20,1357,1.2,1628,8,15,162
,14,49,1.621,0,19,1334,1.5,2002,8,17,162
,16,52,1.625,0,20,1354,1.9,2572,8,20,163
,14,48,1.607,0,18,1320,1.2,1584,7,1,161
,16,50,1.61,0,19,1329,1.2,1595,8,15,161
,15,51,1.62,1,20,1476,1.2,1771,8,16,162
,17,53,1.616,1,20,1477,1.2,1773,8,16,162
,14,51,1.597,0,20,1351,1.5,2026,8,17,160
,15,53,1.607,1,21,1494,1.2,1792,8,16,161
,15,53,1.613,0,20,1369,1.3,1780,8,16,161
,15,51,1.598,1,20,1461,1.2,1753,8,16,160
,14,54,1.612,1,21,1518,1.7,2580,8,20,161
,15,52,1.62,0,20,1359,1.5,2038,8,17,162
,15,53,1.618,1,20,1499,1.2,1799,8,16,162
,17,54,1.623,1,20,1498,1.2,1798,8,16,162
,15,51,1.616,1,20,1473,1.9,2799,8,21,162
,17,53,1.622,1,20,1487,1.5,2230,8,18,162
,17,52,1.62,0,20,1347,1.2,1617,8,15,162
,15,50,1.611,1,19,1448,1.5,2172,8,18,161
,16,50,1.621,1,19,1451,1.5,2176,8,18,162
,17,53,1.617,0,20,1355,1.9,2574,8,20,162
,16,52,1.61,0,20,1348,1.5,2021,8,17,161
,14,49,1.613,0,19,1335,1.2,1602,8,15,161
,14,52,1.599,0,20,1358,1.5,2037,8,17,160
,15,53,1.59,0,21,1365,1.2,1637,8,15,159
,16,54,1.614,1,21,1499,1.5,2248,8,18,161
,15,51,1.602,1,20,1459,1.9,2773,8,21,160
,17,53,1.612,1,20,1479,1.9,2809,8,21,161
,15,54,1.601,1,21,1507,1.2,1809,8,16,160
,15,50,1.604,0,19,1336,1.2,1603,8,15,160
,14,51,1.591,0,20,1348,1.3,1752,8,16,159
,14,50,1.61,0,19,1344,1.2,1613,8,15,161
,16,52,1.601,0,20,1348,1.9,2560,8,20,160
,16,54,1.625,1,20,1509,1.9,2867,8,22,163
,16,48,1.594,1,19,1407,1.3,1830,8,16,159
,15,48,1.622,0,18,1318,1.3,1714,7,2,162
,16,50,1.606,1,19,1445,1.5,2168,8,18,161
,14,52,1.598,0,20,1360,1.3,1768,8,16,160
,16,52,1.624,1,20,1480,1.2,1776,8,16,162
,16,50,1.619,0,19,1339,1.2,1607,8,15,162
,16,54,1.599,1,21,1499,1.9,2848,8,21,160
,15,54,1.617,0,21,1374,1.3,1786,8,16,162
,14,50,1.593,0,20,1340,1.2,1608,8,15,159
,16,53,1.598,1,21,1479,1.5,2218,8,18,160
,17,53,1.607,0,21,1359,1.2,1630,8,15,161
,16,53,1.614,1,20,1495,1.9,2840,8,21,161
,15,53,1.615,0,20,1372,1.3,1783,8,16,162
,14,49,1.625,1,18,1452,1.3,1888,7,4,163
,15,51,1.604,1,20,1466,1.9,2785,8,21,160
,14,49,1.611,0,19,1332,1.2,1599,8,15,161
,16,50,1.615,1,19,1447,1.9,2750,8,21,162
,15,53,1.588,1,21,1484,1.2,1780,8,16,159
,15,51,1.59,1,20,1459,1.2,1751,8,16,159
,15,54,1.625,0,20,1376,1.3,1789,8,16,163
,14,53,1.607,1,21,1500,1.2,1800,8,16,161
,17,48,1.596,1,19,1404,1.7,2387,8,19,160
,15,54,1.618,0,21,1380,1.9,2623,8,20,162
,17,48,1.615,0,18,1310,1.9,2490,7,7,162
,15,48,1.597,1,19,1422,1.3,1848,8,16,160
,16,50,1.595,0,20,1328,1.5,1991,8,17,160
,15,51,1.621,0,19,1347,1.5,2021,8,17,162
,15,53,1.59,1,21,1483,1.9,2817,8,21,159
,16,50,1.608,0,19,1334,1.5,2001,8,17,161
,15,51,1.604,1,20,1464,1.5,2196,8,18,160
,16,54,1.601,1,21,1494,1.9,2839,8,21,160
,15,54,1.588,0,21,1369,1.9,2601,8,20,159
,16,49,1.61,0,19,1319,1.5,1978,8,17,161
,17,54,1.612,0,21,1365,1.5,2047,8,17,161
,14,48,1.612,1,18,1430,1.2,1716,7,2,161
,15,51,1.592,0,20,1346,1.2,1615,8,15,159
,16,49,1.592,1,19,1421,1.3,1847,8,16,159
,17,54,1.609,0,21,1366,1.3,1776,8,16,161
,16,52,1.614,1,20,1469,1.5,2204,8,18,161
,17,54,1.62,1,20,1497,1.2,1796,8,16,162
,14,51,1.615,0,20,1356,1.5,2035,8,17,162
,15,48,1.588,0,19,1313,1.5,1969,8,17,159
,14,50,1.604,0,19,1340,1.5,2011,8,17,160
,16,53,1.605,1,20,1480,1.9,2812,8,21,161
,17,54,1.624,0,21,1373,1.3,1784,8,16,162
,16,50,1.596,0,20,1330,1.2,1596,8,15,160
,16,51,1.601,1,20,1456,1.9,2766,8,21,160
,15,53,1.599,1,21,1487,1.9,2826,8,21,160
,14,52,1.6,0,20,1358,1.5,2037,8,17,160
,17,52,1.601,1,20,1469,1.9,2790,8,21,160
,17,52,1.589,1,21,1461,1.2,1754,8,16,159
,15,52,1.599,1,20,1480,1.9,2812,8,21,160
,16,52,1.588,0,21,1346,1.9,2558,8,20,159
,16,51,1.595,0,20,1344,1.5,2016,8,17,160
,16,49,1.59,1,20,1428,1.7,2428,8,19,159
,16,51,1.621,0,19,1341,1.5,2012,8,17,162
,15,49,1.611,0,19,1324,1.2,1588,8,15,161
,15,54,1.597,0,21,1372,1.2,1646,8,15,160
,14,51,1.59,1,20,1468,1.2,1762,8,16,159
,16,49,1.603,0,19,1326,1.2,1591,8,15,160
,17,52,1.597,0,21,1349,1.9,2562,8,20,160
,15,51,1.599,1,20,1468,1.9,2788,8,21,160
,15,51,1.599,0,20,1344,1.9,2553,8,20,160
,15,51,1.607,0,20,1343,1.9,2552,8,20,161
,17,52,1.588,0,21,1346,1.9,2558,8,20,159
,15,53,1.611,0,20,1367,1.9,2597,8,20,161
,15,48,1.597,0,19,1316,1.7,2238,8,18,160
,16,50,1.607,1,19,1440,1.7,2447,8,19,161
,14,53,1.623,0,20,1372,1.9,2607,8,20,162
,17,54,1.619,0,21,1368,1.3,1778,8,16,162
,14,51,1.589,1,20,1467,1.2,1760,8,16,159
,17,50,1.608,1,19,1437,1.7,2443,8,19,161
,14,48,1.625,1,18,1436,1.7,2440,7,6,163
,16,53,1.598,0,21,1363,1.9,2589,8,20,160
,17,48,1.617,1,18,1415,1.7,2406,7,6,162
,15,49,1.619,1,19,1449,1.9,2752,8,21,162
,14,54,1.595,1,21,1505,1.2,1806,8,16,160
,17,49,1.606,0,19,1319,1.7,2243,8,18,161
,17,54,1.623,0,21,1371,1.9,2604,8,20,162
,17,48,1.625,0,18,1316,1.9,2500,7,7,163
,15,52,1.625,1,20,1490,1.5,2235,8,18,163
,15,51,1.606,1,20,1465,1.5,2198,8,18,161
,15,51,1.605,1,20,1468,1.9,2789,8,21,161
,15,52,1.604,0,20,1352,1.9,2569,8,20,160
,15,54,1.616,0,21,1373,1.9,2610,8,20,162
,14,52,1.616,0,20,1362,1.9,2589,8,20,162
,16,48,1.597,0,19,1308,1.5,1962,8,17,160
,16,49,1.616,1,19,1431,1.7,2433,8,19,162
,15,53,1.599,0,21,1362,1.5,2044,8,17,160
,17,52,1.624,1,20,1474,1.2,1769,8,16,162
,15,52,1.602,0,20,1358,1.2,1629,8,15,160
,16,54,1.624,1,20,1504,1.7,2556,8,20,162
,16,51,1.591,0,20,1335,1.5,2002,8,17,159
,17,54,1.61,1,21,1495,1.9,2841,8,21,161
,14,51,1.617,0,20,1354,1.3,1760,8,16,162
,15,51,1.614,0,20,1351,1.2,1621,8,15,161
,16,53,1.607,0,20,1360,1.3,1768,8,16,161
,17,53,1.591,1,21,1467,1.2,1761,8,16,159
,17,54,1.593,0,21,1367,1.9,2596,8,20,159
,16,54,1.616,0,21,1369,1.3,1780,8,16,162
,15,50,1.606,1,19,1449,1.5,2173,8,18,161
,16,49,1.62,0,19,1329,1.2,1595,8,15,162
,16,54,1.59,1,22,1496,1.9,2843,8,21,159
,15,50,1.622,1,19,1461,1.9,2776,8,21,162
,16,52,1.592,0,21,1354,1.3,1760,8,16,159
,16,54,1.612,1,21,1502,1.3,1952,8,17,161
,16,53,1.588,0,21,1362,1.5,2043,8,17,159
,15,51,1.602,1,20,1462,1.2,1755,8,16,160
,14,50,1.597,1,20,1454,1.9,2762,8,21,160
,15,53,1.625,1,20,1507,1.3,1959,8,17,163
,14,53,1.598,1,21,1499,1.5,2249,8,18,160
,14,48,1.602,1,19,1435,1.7,2439,8,19,160
,16,49,1.593,0,19,1317,1.5,1975,8,17,159
,15,54,1.618,0,21,1375,1.3,1788,8,16,162
,15,48,1.616,0,18,1321,1.7,2245,7,5,162
,16,51,1.601,0,20,1338,1.2,1606,8,15,160
,17,50,1.625,0,19,1329,1.5,1993,8,17,163
,16,53,1.592,1,21,1478,1.5,2217,8,18,159
,16,48,1.606,1,19,1421,1.7,2415,8,19,161
,15,53,1.612,0,20,1364,1.3,1774,8,16,161
,16,54,1.594,0,21,1368,1.2,1642,8,15,159
,15,52,1.614,1,20,1488,1.5,2231,8,18,161
,16,52,1.617,1,20,1472,1.9,2797,8,21,162
,15,48,1.61,0,18,1317,1.2,1580,7,1,161
,16,52,1.598,0,20,1348,1.3,1752,8,16,160
,15,48,1.608,0,18,1316,1.9,2501,7,7,161
,15,54,1.625,1,21,1520,1.3,1976,8,17,163
,14,52,1.593,0,20,1356,1.3,1763,8,16,159
,15,53,1.589,0,21,1364,1.5,2046,8,17,159
,17,50,1.625,0,19,1330,1.5,1995,8,17,163
,16,49,1.621,1,19,1437,1.7,2443,8,19,162
,14,54,1.59,1,21,1508,1.3,1960,8,17,159
,16,54,1.618,0,20,1369,1.2,1643,8,15,162
,17,53,1.605,0,21,1357,1.9,2578,8,20,161
,16,54,1.625,1,21,1514,1.2,1817,8,16,163
,17,53,1.605,1,20,1473,1.5,2210,8,18,161
,16,48,1.62,1,18,1425,1.3,1852,7,4,162
,15,53,1.615,0,20,1363,1.5,2045,8,17,162
,14,54,1.621,1,20,1516,1.3,1971,8,17,162
,15,48,1.625,1,18,1434,1.3,1865,7,4,163
,16,54,1.59,1,21,1494,1.9,2838,8,21,159
,15,50,1.613,1,19,1453,1.5,2180,8,18,161
,15,51,1.602,1,20,1466,1.2,1759,8,16,160
,16,54,1.597,0,21,1366,1.9,2595,8,20,160
,15,53,1.609,0,20,1365,1.5,2047,8,17,161
,17,49,1.608,0,19,1318,1.2,1582,8,15,161
,15,54,1.593,0,21,1376,1.9,2615,8,20,159
,16,49,1.595,0,19,1321,1.2,1585,8,15,160
,17,54,1.608,0,21,1365,1.2,1638,8,15,161
,15,53,1.62,0,20,1365,1.2,1638,8,15,162
,17,53,1.623,1,20,1487,1.5,2231,8,18,162
,14,52,1.596,1,21,1485,1.9,2821,8,21,160
,16,50,1.609,0,19,1336,1.2,1603,8,15,161
,15,53,1.607,0,21,1370,1.3,1781,8,16,161
,14,53,1.615,1,20,1498,1.9,2846,8,21,162
,14,54,1.621,1,21,1525,1.2,1830,8,16,162
,17,50,1.591,0,20,1321,1.5,1981,8,17,159
,17,49,1.612,1,19,1423,1.7,2419,8,19,161
,16,54,1.588,1,22,1496,1.2,1795,8,16,159
,15,48,1.595,0,19,1320,1.5,1980,8,17,160
,17,54,1.607,0,21,1365,1.5,2047,8,17,161
,16,52,1.606,0,20,1350,1.5,2024,8,17,161
,15,50,1.623,1,19,1462,1.2,1755,8,16,162
,16,52,1.6,1,20,1475,1.9,2803,8,21,160
,16,51,1.593,0,20,1342,1.2,1610,8,15,159
,15,51,1.613,0,20,1350,1.2,1620,8,15,161
,15,52,1.61,1,20,1474,1.5,2211,8,18,161
,17,53,1.615,0,20,1358,1.5,2038,8,17,162
,15,52,1.613,0,20,1360,1.3,1768,8,16,161
,15,52,1.612,1,20,1480,1.2,1776,8,16,161
,15,52,1.618,0,20,1363,1.5,2044,8,17,162
,15,51,1.589,1,20,1457,1.5,2185,8,18,159
,17,50,1.608,0,19,1324,1.5,1985,8,17,161
,17,53,1.609,0,20,1355,1.5,2033,8,17,161
,15,53,1.596,1,21,1491,1.5,2236,8,18,160
,17,52,1.625,0,20,1351,1.5,2026,8,17,163
,15,51,1.612,1,20,1473,1.9,2798,8,21,161
,15,50,1.608,1,20,1459,1.5,2188,8,18,161
,16,52,1.62,1,20,1475,1.9,2802,8,21,162
,15,54,1.625,1,21,1520,1.9,2887,8,22,163
,15,53,1.589,0,21,1362,1.5,2043,8,17,159
,16,49,1.62,0,19,1323,1.5,1985,8,17,162
,15,53,1.59,1,21,1487,1.9,2825,8,21,159
,17,53,1.593,1,21,1478,1.9,2809,8,21,159
,16,48,1.62,0,18,1314,1.9,2496,7,7,162
,15,52,1.607,0,20,1354,1.5,2031,8,17,161
,16,54,1.597,1,21,1490,1.9,2832,8,21,160
,15,51,1.594,0,20,1347,1.5,2021,8,17,159
,15,48,1.623,0,18,1318,1.3,1713,7,2,162
,15,54,1.595,1,21,1494,1.2,1793,8,16,160
,16,50,1.607,1,19,1448,1.9,2751,8,21,161
,15,53,1.618,0,20,1371,1.9,2606,8,20,162
,16,54,1.602,0,21,1370,1.3,1780,8,16,160
,14,52,1.591,0,21,1358,1.5,2038,8,17,159
,16,48,1.605,1,19,1419,1.7,2412,8,19,161
,17,53,1.623,1,20,1482,1.9,2815,8,21,162
,15,48,1.602,1,19,1421,1.7,2416,8,19,160
,15,52,1.608,1,20,1482,1.5,2223,8,18,161
,15,52,1.608,0,20,1352,1.5,2028,8,17,161
,15,51,1.589,0,20,1345,1.9,2555,8,20,159
,17,50,1.611,1,19,1435,1.5,2152,8,18,161
,15,54,1.611,1,21,1508,1.9,2864,8,22,161
,15,48,1.597,0,19,1318,1.7,2241,8,18,160
,15,48,1.605,0,19,1315,1.5,1973,8,17,161
,15,51,1.613,1,20,1472,1.9,2797,8,21,161
,14,54,1.596,1,21,1511,1.7,2569,8,20,160
,15,52,1.604,0,20,1353,1.2,1624,8,15,160
,15,54,1.617,1,21,1514,1.7,2573,8,20,162
,15,54,1.602,1,21,1500,1.9,2849,8,21,160
,17,53,1.6,1,21,1475,1.5,2213,8,18,160
,17,54,1.601,1,21,1488,1.9,2827,8,21,160
,16,54,1.596,1,21,1498,1.5,2247,8,18,160
,14,50,1.614,1,19,1467,1.2,1760,8,16,161
,16,53,1.593,0,21,1356,1.9,2576,8,20,159
,15,52,1.621,1,20,1480,1.2,1776,8,16,162
,14,48,1.612,1,18,1431,1.2,1717,7,2,161
,17,48,1.607,1,19,1412,1.3,1836,8,16,161
,15,51,1.62,0,19,1348,1.9,2562,8,20,162
,16,49,1.603,1,19,1424,1.7,2420,8,19,160
,14,53,1.62,1,20,1500,1.2,1799,8,16,162
,15,50,1.613,0,19,1335,1.2,1602,8,15,161
,16,51,1.595,0,20,1339,1.5,2008,8,17,160
,15,51,1.594,1,20,1456,1.9,2767,8,21,159
,15,48,1.599,0,19,1315,1.2,1578,8,15,160
,14,49,1.625,1,19,1455,1.5,2183,8,18,163
,14,54,1.611,1,21,1521,1.3,1978,8,17,161
,16,48,1.615,0,18,1316,1.2,1579,7,1,162
,16,52,1.622,1,20,1486,1.9,2824,8,21,162
,15,50,1.612,1,19,1455,1.9,2765,8,21,161
,15,54,1.589,0,21,1372,1.2,1646,8,15,159
,15,49,1.591,1,19,1432,1.7,2434,8,19,159
,17,51,1.602,0,20,1333,1.5,1999,8,17,160
,17,52,1.608,0,20,1344,1.9,2553,8,20,161
,15,51,1.619,0,19,1345,1.5,2018,8,17,162
,17,54,1.6,1,21,1488,1.9,2827,8,21,160
,16,54,1.594,0,21,1365,1.3,1775,8,16,159
,17,49,1.607,0,19,1322,1.5,1984,8,17,161
,15,48,1.613,0,19,1321,1.2,1585,8,15,161
,15,48,1.62,1,18,1428,1.7,2428,7,6,162
,15,54,1.588,0,21,1369,1.2,1643,8,15,159
,15,49,1.612,1,19,1441,1.7,2450,8,19,161
,15,50,1.615,1,19,1451,1.9,2757,8,21,162
,15,52,1.59,1,21,1472,1.9,2796,8,21,159
,15,53,1.614,0,20,1365,1.9,2594,8,20,161
,15,48,1.621,0,18,1325,1.3,1723,7,2,162
,16,48,1.619,0,18,1316,1.3,1711,7,2,162
,17,54,1.605,0,21,1368,1.9,2599,8,20,161
,14,52,1.623,0,20,1368,1.9,2598,8,20,162
,16,53,1.588,0,21,1358,1.5,2037,8,17,159
,14,50,1.608,1,19,1460,1.5,2189,8,18,161
,15,53,1.606,0,20,1362,1.3,1770,8,16,161
,16,54,1.611,0,21,1368,1.2,1641,8,15,161
,14,51,1.607,0,20,1354,1.3,1760,8,16,161
,15,49,1.603,0,19,1326,1.5,1990,8,17,160
,16,53,1.591,1,21,1482,1.2,1778,8,16,159
,15,49,1.621,0,19,1333,1.2,1599,8,15,162
,16,51,1.607,1,20,1453,1.9,2761,8,21,161
,16,54,1.592,1,21,1499,1.5,2248,8,18,159
,16,54,1.618,0,20,1369,1.3,1780,8,16,162
,15,52,1.607,1,20,1477,1.9,2806,8,21,161
,17,49,1.625,0,19,1323,1.7,2249,8,18,163
,15,53,1.609,0,20,1364,1.9,2592,8,20,161
,16,51,1.612,1,20,1461,1.5,2192,8,18,161
,15,50,1.597,1,20,1451,1.9,2756,8,21,160
,14,48,1.625,1,18,1439,1.2,1727,7,2,163
,17,48,1.624,0,18,1309,1.9,2488,7,7,162
,14,50,1.616,0,19,1346,1.5,2019,8,17,162
,15,48,1.613,0,18,1319,1.7,2243,7,5,161
,16,53,1.591,1,21,1479,1.2,1775,8,16,159
,15,54,1.599,0,21,1376,1.9,2614,8,20,160
,14,53,1.592,1,21,1491,1.9,2834,8,21,159
,16,52,1.625,0,20,1356,1.2,1627,8,15,163
,16,52,1.607,1,20,1475,1.5,2213,8,18,161
,17,53,1.609,0,20,1356,1.5,2034,8,17,161
,14,53,1.621,1,20,1504,1.2,1805,8,16,162
,15,49,1.605,1,19,1433,1.7,2436,8,19,161
,15,53,1.618,1,20,1500,1.3,1951,8,17,162
,15,51,1.598,0,20,1349,1.9,2563,8,20,160
,16,51,1.59,1,20,1448,1.9,2751,8,21,159
,15,48,1.598,1,19,1422,1.3,1848,8,16,160
,14,52,1.6,0,20,1360,1.5,2039,8,17,160
,15,52,1.625,1,20,1489,1.5,2233,8,18,163
,15,48,1.59,1,19,1418,1.3,1843,8,16,159
,16,50,1.589,1,20,1436,1.7,2441,8,19,159
,14,50,1.612,1,19,1468,1.2,1761,8,16,161
,15,54,1.595,1,21,1499,1.5,2248,8,18,160
,16,48,1.614,0,19,1318,1.7,2241,8,18,161
,14,52,1.601,1,20,1488,1.2,1786,8,16,160
,14,48,1.622,1,18,1441,1.5,2161,7,5,162
,14,48,1.623,1,18,1443,1.2,1731,7,2,162
,15,48,1.607,1,19,1426,1.7,2424,8,19,161
,17,50,1.612,1,19,1435,1.5,2153,8,18,161
,15,54,1.599,1,21,1506,1.9,2861,8,22,160
,16,51,1.618,1,20,1465,1.2,1758,8,16,162
,15,53,1.608,0,21,1368,1.9,2599,8,20,161
,16,51,1.621,0,19,1344,1.5,2016,8,17,162
,15,52,1.593,0,20,1352,1.9,2569,8,20,159
,15,53,1.612,1,20,1494,1.9,2839,8,21,161
,16,48,1.613,1,19,1426,1.7,2424,8,19,161
,15,52,1.615,0,20,1356,1.5,2034,8,17,162
,16,52,1.599,1,20,1465,1.9,2783,8,21,160
,14,52,1.61,1,20,1486,1.2,1783,8,16,161
,16,52,1.61,1,20,1476,1.2,1771,8,16,161
,16,50,1.623,1,19,1451,1.9,2756,8,21,162
,16,50,1.588,0,20,1328,1.2,1593,8,15,159
,15,49,1.617,0,19,1325,1.5,1987,8,17,162
,16,53,1.588,0,21,1358,1.2,1630,8,15,159
,15,52,1.617,0,20,1355,1.3,1762,8,16,162
,14,52,1.6,0,20,1360,1.2,1632,8,15,160
,14,48,1.609,1,19,1438,1.5,2157,8,18,161
,15,51,1.607,0,20,1348,1.5,2022,8,17,161
,17,50,1.594,0,20,1327,1.5,1990,8,17,159
,15,49,1.591,1,19,1427,1.7,2426,8,19,159
,16,49,1.59,0,20,1324,1.2,1589,8,15,159
,16,52,1.606,1,20,1465,1.2,1758,8,16,161
,15,52,1.594,0,21,1357,1.3,1765,8,16,159
,14,52,1.603,0,20,1363,1.3,1772,8,16,160
,14,53,1.607,1,21,1505,1.7,2558,8,20,161
,15,52,1.607,0,20,1360,1.2,1632,8,15,161
,15,48,1.59,1,19,1415,1.7,2405,8,19,159
,16,51,1.624,1,19,1462,1.2,1754,8,16,162
,16,48,1.612,1,19,1424,1.7,2421,8,19,161
,14,49,1.616,0,19,1330,1.5,1995,8,17,162
,15,51,1.617,0,19,1348,1.5,2022,8,17,162
,16,52,1.605,1,20,1478,1.2,1773,8,16,161
,15,50,1.626,1,19,1466,1.2,1760,8,16,163
,14,51,1.611,0,20,1352,1.5,2027,8,17,161
,15,53,1.622,1,20,1507,1.2,1808,8,16,162
,15,48,1.591,0,19,1314,1.2,1577,8,15,159
,17,51,1.593,0,20,1333,1.2,1600,8,15,159
,16,53,1.62,1,20,1487,1.9,2824,8,21,162
,14,51,1.601,0,20,1355,1.9,2574,8,20,160
,15,51,1.6,0,20,1348,1.9,2562,8,20,160
,16,49,1.602,1,19,1435,1.5,2153,8,18,160
,16,50,1.621,1,19,1452,1.5,2179,8,18,162
,14,54,1.617,1,21,1522,1.3,1978,8,17,162
,14,51,1.611,1,20,1477,1.2,1773,8,16,161
,14,54,1.624,1,20,1517,1.2,1820,8,16,162
,16,49,1.59,1,19,1419,1.3,1844,8,16,159
,15,49,1.61,1,19,1435,1.5,2152,8,18,161
,16,52,1.594,1,21,1468,1.9,2790,8,21,159
,16,54,1.588,1,22,1496,1.2,1795,8,16,159
,15,51,1.591,1,20,1461,1.2,1753,8,16,159
,14,51,1.61,0,20,1352,1.2,1622,8,15,161
,16,54,1.622,1,21,1512,1.3,1966,8,17,162
,15,54,1.613,1,21,1507,1.9,2862,8,22,161
,14,49,1.618,1,19,1450,1.9,2754,8,21,162
,15,49,1.625,0,19,1330,1.5,1995,8,17,163
,16,48,1.589,0,19,1312,1.7,2231,8,18,159
,16,51,1.59,0,20,1337,1.2,1605,8,15,159
,15,54,1.602,0,21,1376,1.3,1789,8,16,160
,16,53,1.621,0,20,1363,1.3,1772,8,16,162
,15,51,1.588,0,20,1346,1.2,1616,8,15,159
,15,52,1.59,1,21,1472,1.5,2209,8,18,159
,15,54,1.602,0,21,1375,1.3,1788,8,16,160
,17,53,1.592,0,21,1350,1.9,2566,8,20,159
,16,48,1.598,0,19,1312,1.5,1968,8,17,160
,14,51,1.596,0,20,1348,1.9,2562,8,20,160
,17,51,1.599,0,20,1340,1.5,2011,8,17,160
,15,49,1.601,0,19,1324,1.2,1589,8,15,160
,15,54,1.623,1,21,1515,1.2,1817,8,16,162
,14,50,1.624,1,19,1473,1.9,2799,8,21,162
,14,48,1.623,0,18,1330,1.3,1729,7,2,162
,16,53,1.613,0,20,1361,1.5,2042,8,17,161
,15,49,1.598,1,19,1427,1.7,2426,8,19,160
,15,52,1.61,0,20,1356,1.9,2576,8,20,161
,16,54,1.589,0,21,1366,1.9,2595,8,20,159
,15,52,1.589,1,21,1469,1.5,2204,8,18,159
,15,53,1.617,0,20,1368,1.9,2599,8,20,162
,14,49,1.616,1,19,1446,1.5,2169,8,18,162
,15,54,1.588,0,22,1376,1.9,2614,8,20,159
,14,52,1.607,0,20,1366,1.2,1639,8,15,161
,17,54,1.61,1,21,1500,1.9,2851,8,22,161
,14,51,1.611,0,20,1351,1.5,2027,8,17,161
,15,53,1.616,0,20,1366,1.2,1639,8,15,162
,14,53,1.588,0,21,1368,1.2,1642,8,15,159
,15,53,1.595,1,21,1482,1.5,2223,8,18,160
,15,52,1.601,0,20,1353,1.2,1624,8,15,160
,15,48,1.624,1,18,1432,1.3,1861,7,4,162
,15,48,1.622,0,18,1324,1.3,1721,7,2,162
,17,54,1.59,0,21,1365,1.3,1774,8,16,159
,17,52,1.605,1,20,1464,1.5,2196,8,18,161
,14,54,1.6,1,21,1506,1.3,1957,8,17,160
,17,54,1.597,0,21,1364,1.9,2591,8,20,160
,15,48,1.612,1,18,1425,1.3,1853,7,4,161
,14,51,1.615,0,20,1354,1.9,2574,8,20,162
,16,53,1.603,0,21,1364,1.3,1773,8,16,160
,15,51,1.623,1,19,1473,1.5,2210,8,18,162
,16,51,1.613,0,20,1343,1.5,2014,8,17,161
,15,52,1.6,0,20,1359,1.5,2039,8,17,160
,15,50,1.615,1,19,1462,1.5,2193,8,18,162
,16,53,1.593,0,21,1356,1.2,1628,8,15,159
,17,49,1.589,0,20,1318,1.7,2241,8,18,159
,16,52,1.603,1,20,1472,1.5,2207,8,18,160
,16,51,1.616,1,19,1458,1.2,1750,8,16,162
,15,52,1.624,1,20,1485,1.9,2822,8,21,162
,15,52,1.618,0,20,1362,1.9,2588,8,20,162
,16,53,1.601,0,21,1356,1.5,2034,8,17,160
,15,52,1.621,1,20,1489,1.2,1787,8,16,162
,14,48,1.62,0,18,1326,1.3,1724,7,2,162
,14,49,1.599,0,19,1335,1.2,1602,8,15,160
,15,52,1.592,0,20,1350,1.9,2565,8,20,159
,17,49,1.593,0,19,1318,1.7,2240,8,18,159
,15,50,1.609,0,19,1334,1.2,1601,8,15,161
,14,53,1.615,1,20,1500,1.7,2550,8,20,162
,14,50,1.616,1,19,1461,1.9,2776,8,21,162
,16,49,1.6,1,19,1423,1.3,1849,8,16,160
,15,49,1.6,0,19,1324,1.5,1986,8,17,160
,14,53,1.592,0,21,1366,1.3,1775,8,16,159
,16,53,1.606,1,20,1484,1.5,2225,8,18,161
,15,52,1.602,0,20,1359,1.3,1767,8,16,160
,17,54,1.604,1,21,1495,1.9,2841,8,21,160
,17,48,1.616,1,18,1419,1.3,1845,7,3,162
,15,51,1.617,0,19,1346,1.2,1615,8,15,162
,16,48,1.589,0,19,1312,1.5,1968,8,17,159
,16,52,1.592,0,21,1350,1.5,2025,8,17,159
,15,54,1.618,1,21,1511,1.9,2871,8,22,162
,15,54,1.609,1,21,1508,1.7,2564,8,20,161
,16,53,1.601,0,21,1360,1.2,1632,8,15,160
,16,53,1.618,0,20,1361,1.2,1633,8,15,162
,15,53,1.622,0,20,1366,1.2,1640,8,15,162
,16,49,1.617,1,19,1434,1.7,2437,8,19,162
,15,50,1.619,1,19,1462,1.5,2193,8,18,162
,17,52,1.596,1,21,1465,1.9,2783,8,21,160
,16,51,1.606,0,20,1345,1.9,2555,8,20,161
,16,53,1.598,1,21,1483,1.2,1780,8,16,160
,15,49,1.593,0,19,1321,1.2,1585,8,15,159
,15,50,1.598,0,20,1336,1.2,1603,8,15,160
,17,53,1.615,1,20,1483,1.9,2817,8,21,162
,16,50,1.606,0,19,1329,1.5,1994,8,17,161
,14,54,1.604,0,21,1377,1.9,2616,8,20,160
,16,48,1.616,0,18,1318,1.7,2240,7,5,162
,17,52,1.603,0,20,1348,1.3,1753,8,16,160
,16,49,1.594,1,19,1419,1.7,2413,8,19,159
,14,51,1.616,0,20,1354,1.9,2572,8,20,162
,15,50,1.59,1,20,1437,1.7,2443,8,19,159
,14,52,1.597,0,20,1362,1.9,2587,8,20,160
,16,54,1.614,1,21,1507,1.9,2863,8,22,161
,14,51,1.62,0,19,1355,1.9,2575,8,20,162
,15,54,1.608,1,21,1504,1.9,2857,8,22,161
,14,49,1.612,0,19,1332,1.2,1599,8,15,161
,15,51,1.602,0,20,1344,1.2,1613,8,15,160
,14,54,1.623,0,21,1385,1.7,2354,8,19,162
